ranking,releasetime,score,star,title
53,上映时间：2014-09-26(美国),8.7,"主演：本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",消失的爱人
54,上映时间：2010-01-04,9.4,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",阿凡达
55,上映时间：2015-04-23,9.1,"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",美国往事
56,上映时间：2001-12-13(美国),8.8,"主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",美丽心灵
57,上映时间：1939-12-15(美国),9.1,"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",乱世佳人
58,上映时间：1999-09-10(意大利),8.7,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",搏击俱乐部
59,上映时间：1995-01-27(美国),8.7,"主演：伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",爱在黎明破晓前
60,上映时间：2019-04-24,9.1,"主演：小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",复仇者联盟4：终局之战
61,上映时间：2006-03-23(德国),9,"主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",窃听风暴
62,上映时间：2009-08-04,8.9,"主演：爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井",飞屋环游记
63,上映时间：1994-05-21(法国),8.7,"主演：约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",低俗小说
64,上映时间：1975-11-19(美国),8.8,"主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",飞越疯人院
65,上映时间：2023-06-01,9.5,"主演：田中真弓,横泽启子,初井言荣",天空之城
66,上映时间：2004-01-23(美国),8.7,"主演：约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",蝴蝶效应
67,上映时间：2003-09-05,9.1,"主演：刘德华,梁朝伟,黄秋生",无间道
68,上映时间：2014-10-24,8.8,"主演：周星驰,朱茵,莫文蔚",大话西游之大圣娶亲
69,上映时间：2001-04-25(比利时),8.4,"主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯",天使爱美丽
70,上映时间：2013-09-04(英国),8.9,"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",时空恋旅人
71,上映时间：2015-04-20,8.7,"主演：伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",爱在日落黄昏时
72,上映时间：1953-08-20(意大利),9,"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",罗马假日
73,上映时间：1997-12-05(美国),8.4,"主演：罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",心灵捕手
74,上映时间：1957-12-17(美国),8.5,"主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",控方证人
75,上映时间：1997-05-30(中国香港),9.2,"主演：张国荣,梁朝伟,张震",春光乍泄
76,上映时间：2008-08-28(英国),9,"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",穿条纹睡衣的男孩
77,上映时间：2016-05-13 00:00:00(法国),8.9,"主演：孔刘,郑裕美,马东锡",釜山行
78,上映时间：1995-09-22(美国),8.7,"主演：布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",七宗罪
79,上映时间：2020-09-25,8.8,"主演：北野武,关口雄介,岸本 加世子",菊次郎的夏天
80,上映时间：1994-07-14(中国香港),8.6,"主演：梁朝伟,王菲,金城武",重庆森林
81,上映时间：2003-04-11,8.6,"主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",猫鼠游戏
82,上映时间：2022-02-22,8.9,"主演：有村架纯,菅田将晖,细田佳央太",花束般的恋爱
83,上映时间：2013-12-18(韩国),8.8,"主演：宋康昊,郭度沅,吴达洙",辩护人
84,上映时间：1990-12-06(美国),8.8,"主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",剪刀手爱德华
85,上映时间：2021-10-29,8.6,"主演：本木雅弘,广末凉子,山崎努",入殓师
